"conc","patrilineal","ageb","age15","age20","age25","age30","age35","age40","yearbirth10","yearbirth1920","yearbirth1930","yearbirth1940","yearbirth1950","yearbirth1960","yearbirth1970","yearbirth1980","mi_job","highestgrade","bly","pcom","pcode","uid"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","FROY"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","0J4N"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P000","3h","9K55"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","C7LL"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P000","3h","Y53S"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","G9L6"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","AA6Y"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","HHK4"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1110","4m","K5LW"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,3,0,"P","","PMN7"
0,0,"45",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1110","4m","2A9Z"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","LLBQ"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,2,0,"P","","CKB9"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","81O6"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,5,0,"P","","X8HZ"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","29EY"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","93QU"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1100","4m","76BH"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","38JE"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1100","4m","MP3D"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","MA8A"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,7,0,"P","","PPLL"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,3,0,"P100","3m","S9FJ"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P000","3h","6KVK"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,1,"P110","3m","F6IM"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P110","3m","TNZB"
1,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","19S3"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","D406"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","Q49W"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","K5GV"
1,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","EE47"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","JWPZ"
1,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P0","0","JQTQ"
0,0,"45",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P10","10","76C3"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P111","3h","I9KB"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P10","10","WUN2"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P0","0","TBJF"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P0","0","VXFM"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","W4Q0"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,1,"P1000","4m","OIN4"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P10","10","WHOO"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P0000","4h","C4F1"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P0","0","U2I9"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","GIB8"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P10","10","WXBJ"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,9,0,"P","","9BCE"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P11","11","1X80"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","7TP8"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1100","4m","MX79"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P0","0","S448"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","Z7VC"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","SFD1"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,5,0,"P10","10","CZT2"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","3CWX"
0,1,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","R7QR"
